"cnpj","nome_coop","naturezaJuridica","situacao","regimeEspecial","logradouro","complemento","bairro","municipio","uf","cep","endereco_eletronico","email","telefone_ddd","telefone_numero","segmento_prudencial","ato_presi","nome_Liquidante","filiacao","filiacao_central"
4891850,"CONFEDERACAO NACIONAL DAS COOPERATIVAS DO SICOOB LTDA","Sociedade Cooperativa","",FALSE,"SIG QUADRA 06 LOTE 2080 TORRE II","CENTRO CORPORATIVO SICOOB","SIG","BRASILIA","DF","70610460","www.sicoob.com.br","sicoob-brasil@sicoob-brasil.com.br","61","32175316",NA,NA,NA,NA,NA
10398952,"CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS DE CRÉDITO E ECONOMIA FAMILIAR E SOLIDÁRIA - CRESOL CONFEDERAÇÃO","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"RODOVIA JOSE CARLOS DAUX  N  500","2  ANDAR   CONDOMINIO TECHNO TOWERS  TORRE 1","JOAO PAULO","FLORIANOPOLIS","SC","88030000","www.cresolconfederacao.com.br","","48","32519400","S4",NA,NA,NA,NA
315557,"CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS UNICRED LTDA. - UNICRED DO BRASIL.","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"RUA BELA CINTRA  967","8  ANDAR   CJ  82","CONSOLACAO","SAO PAULO","SP","01415907","www.unicred.com.br","unicredbr@unicred.com.br","11","33553099","S4",NA,NA,NA,NA
44469161,"COOPECREDI GUARIBA - COOPERATIVA DE CREDITO","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"AV ANTONIO ALBINO 1671","","VILA GARAVELLO","GUARIBA","SP","14840000","www.coopecredi.com.br","coopecredi@coopecredi.com.br","16","32519700","S4",NA,NA,NA,NA
5296712,"COOPERASA - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONARIOS DAS EMPRESAS DA AGUIA PARTICIPAÇÕES","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"AVENIDA SENADOR FLAVIO CARVALHO GUIMARAES  3505","AGUIA SISTEMAS","JARDIM ELDORADO","PONTA GROSSA","PR","84072190","","cooperasa@aguiasistemas.com.br","42","32202636","S5",NA,NA,NA,NA
88325113,"COOPERATIVA    DE    ECONOMIA    E    CRÉDITO   MÚTUO  MINUANO","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"RUA GONCALVES DIAS  88","SALA 1005","CENTRO","CANOAS","RS","92010050","www.cooperativaminuano.com.br","marlise@cooperativaminuano.com.br","51","30758752","S5",NA,NA,NA,NA
1664968,"COOPERATIVA  DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS UNIRONDÔNIA LTDA","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"AVENIDA CALAMA 2468","","SÃO JOÃO BOSCO","PORTO VELHO","RO","76803769","www.unisicoob.com.br/unipvh/","unicredpvh@unicredportovelho.com.br","69","32238277","S5",NA,NA,NA,NA
1864151,"COOPERATIVA  ECONOMIA CRÉDITO MÚTUO  SERVS E EMPREGADOS PÚBLICOS MUNIC DE BELO HORIZONTE BETIM BRUMADINHO CONTAGEM IBIRITÉ NOVA LIMA RIBEIRÃO DAS NEVES SABARÁ SANTA LUZIA E VESPASIANO SICOOB CREDISERV","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"RUA DA BAHIA  905   11 ANDAR","","CENTRO","BELO HORIZONTE","MG","30160011","","crediservbh@crediservbh.com.br","31","32746959","S5",NA,NA,NA,NA
32428294,"COOPERATIVA CENTRAL DE CREDITO DO ESPIRITO SANTO - SICOOB CENTRAL ES","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"RUA CONSTANTE SODRÉ, Nº 305","","SANTA LUCIA","VITORIA","ES","29056310","www.sicoobes.com.br","sicoobes@sicoobes.com.br","27","30250100","S4",NA,NA,NA,NA
21198087,"COOPERATIVA CENTRAL DE CREDITO RURAL COM INTERAÇÃO SOLIDÁRIA   CENTRAL CRESOL SICOPER","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"RUA DOUTOR BOZANO","272","PETROPOLIS","PASSO FUNDO","RS","99051370","www.cresolsicoper.com.br","","54","32102300","S4",NA,NA,NA,NA
5463212,"COOPERATIVA CENTRAL DE CRÉDITO - AILOS","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"RUA GENERAL OSÓRIO, 1180","","VELHA","BLUMENAU","SC","89041002","http://www.ailos.coop.br/","cecred@cecred.coop.br","47","32314646","S4",NA,NA,NA,NA
1401771,"COOPERATIVA CENTRAL DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"RUA ERNESTO SANDERSON, Nº 101","","INDUSTRIAL","FRANCISCO BELTRAO","PR","85601657","www.cresol.com.br","baser@cresol.com.br","46","35201981","S4",NA,NA,NA,NA
10013534,"COOPERATIVA CENTRAL DE CRÉDITO DA AGRICULTURA FAMILIAR E ECONOMIA SOLIDÁRIA - ASCOOB CENTRAL","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"AVENIDA ANTONIO PINHEIRO DA MOTA  N  46","EDF  EMPRESARIAL VIEIRA SOUTO  3  ANDAR","CENTRO","SERRINHA","BA","48700000","www.sistemaascoob.com.br","diretoria@ascoobcentral.com.br","75","32613062","S4",NA,NA,NA,NA
34148882,"COOPERATIVA CENTRAL DE CRÉDITO DA BAHIA LTDA  SICOOB CENTRAL BA","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"RUA ALCEU AMOROSO LIMA  N  470","ED  EMPRESARIAL NIEMEYER  10  ANDAR","CAMINHO DAS ARVORES","SALVADOR","BA","41820770","www.sicoob-ba.com.br","sicoob-ba@sicoob-ba.com.br","71","33407100","S4",NA,NA,NA,NA
33416108,"COOPERATIVA CENTRAL DE CRÉDITO DE GOIÁS LTDA","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"RUA 15 1250","","SETOR MARISTA","GOIANIA","GO","74150020","www.sicoobgoias.com.br","central@sicoobgoias.com.br","62","35238100","S4",NA,NA,NA,NA
25683434,"COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"AVENIDA DEL REY  111","CONDOMINIO COMERCIAL CAICARA  TORRE B  7  ANDAR","CAPARAO","BELO HORIZONTE","MG","30775240","http://www.sicoobcrediminas.com.br/","seger@crediminas.com.br","31","32707607","S4",NA,NA,NA,NA
80160260,"COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"RUA TENENTE SILVEIRA, 94","ANDARES 2º, 3º, 4º, 5º, 6º, 7º E 8º","CENTRO","FLORIANOPOLIS","SC","88010300","www.sicoobsc.com.br","sicoobsc@sicoobsc.com.br","48","32619000","S3",NA,NA,NA,NA
63917579,"COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"AVENIDA PROFESSOR JOAO FIUSA  2604","","JARDIM CANADA","RIBEIRAO PRETO","SP","14024260","www.sicoobsp.coop.br","presidencia@sicoobsp.coop.br","16","34567400","S4",NA,NA,NA,NA
3502131,"COOPERATIVA CENTRAL DE CRÉDITO DO NORTE DO BRASIL - SICOOB NORTE","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"AV NACOES UNIDAS 555","","N S  DAS GRACAS","PORTO VELHO","RO","76804175","www.sicoobnorte.com.br","centralnorte@centralnorte.com.br","69","21811007","S4",NA,NA,NA,NA
14568725,"COOPERATIVA CENTRAL DE CRÉDITO DO RIO DE JANEIRO LTDA.","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"RUA RODRIGO SILVA  N  26","6  ANDAR   SALA 601","CENTRO","RIO DE JANEIRO","RJ","20011040","www.sicoobrio.com.br","","21","25440761","S4",NA,NA,NA,NA
7202627,"COOPERATIVA CENTRAL DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA - CRESOL CENTRAL SC/RS","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"RUA ACHILES TOMAZELLI, 1310E","PRÉDIO","SANTA MARIA","CHAPECO","SC","89812143","www.cresolcentral.com.br","jonas@cresolcentral.com.br","49","33614800","S4",NA,NA,NA,NA
543968,"COOPERATIVA CENTRAL DE CRÉDITO UNICRED CONEXÃO LTDA - UNICRED CENTRAL CONEXÃO","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"RUA CRISTOVAO NUNES PIRES 50 TORRE NORDEN","LJ 05  SALAS 402 403 508 509 510 E 511","CENTRO","FLORIANOPOLIS","SC","88010120","https://www.unicred.com.br/centralscpr/","administracao@unicredcentralsc.com.br","48","32215600","S4",NA,NA,NA,NA
33737818,"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DE MATO GROSSO DO SUL, GOIÁS, DISTRITO FEDERAL E TOCANTINS  CENTRAL SICREDI BRASIL CENTRAL","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"AV. T-12, S/N","QD 123 LT 17/18 SALA 2801 ED CONNECT PARK BUSINESS","BUENO","GOIANIA","GO","74223080","","centralms_bacen@sicredi.com.br","62","35749750","S4",NA,NA,NA,NA
33667205,"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO NORTE DO BRASIL - CENTRAL SICREDI CENTRO NORTE","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"AV. JOSÉ RODRIGUES DO PRADO, 19","1º ANDAR","SANTA ROSA","CUIABA","MT","78040000","www.sicredi.com.br","nauder_silva@sicredi.com.br","65","36485193","S4",NA,NA,NA,NA
70119680,"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO NORTE/NORDESTE - CENTRAL SICREDI NORTE/NORDESTE","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"RUA DR. ANTÔNIO MOACIR DANTAS CAVALCANTI, 110","PARQUE ESPERANÇA","RENASCER","CABEDELO","PB","58108546","www.sicredinne.com.br","unicred@unicrednne.com.br","83","30442500","S4",NA,NA,NA,NA
87437687,"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"R. MANOELITO DE ORNELLAS, 55","18º E 19º ANDAR","PRAIA DE BELAS","PORTO ALEGRE","RS","90110230","","centralsul_juridico@sicredi.com.br","51","33585400","S3",NA,NA,NA,NA
80230774,"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"R ALCIDES MUNHOZ, 165","1º ANDAR","MERCÊS","CURITIBA","PR","80810040","","centralpr_juridico@sicredi.com.br","41","32815400","S3",NA,NA,NA,NA
73085573,"COOPERATIVA CENTRAL DE ECONOMIA E CRÉDITO MÚTUO  - SICOOB UNIMAIS","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"RUA DO PARAISO  N  41","","PARAISO","SAO PAULO","SP","04103000","http://www.sicoobunimais.com.br/","comunicacaobacen.2013@sicoob.com.br","11","32525210","S4",NA,NA,NA,NA
86774775,"COOPERATIVA CENTRAL DE ECONOMIA E CRÉDITO MÚTUO DAS UNICREDS DO ESTADO DO RIO DE JANEIRO E DO MATO GROSSO LTDA   UNICRED CENTRAL RJ/MT","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"RUA DO OUVIDOR 121","SALA 2101","CENTRO","RIO DE JANEIRO","RJ","20040031","www.unicred.com.br/centralrjmt","superincentral@unicred-rj.com.br","21","21227800","S4",NA,NA,NA,NA
51010858,"COOPERATIVA DE CAPITAL E EMPRÉSTIMO COOPERMULTICRED - COOPERMC","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"AV  MONTEIRO LOBATO  3411   ANTIGO 3285","HITACHI PG   SETOR  COOPERATIVA","SAO ROQUE","GUARULHOS","SP","07190904","www.coopermc.com.br","cooperativa.marcos-silva@br.abb.com","11","976238493","S5",NA,NA,NA,NA
3128973,"COOPERATIVA DE CREDITO , POUPANÇA E INVESTIMENTO DO ESTADO DO PIAUÍ - SICREDI PIAUÍ","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"RUA SAO PEDRO 1465","CENTRO","CENTRO","TERESINA","PI","64001260","www.sicredi.com.br/piaui/","unicredpi@veloxmail.com.br","86","30897000","S5",NA,NA,NA,NA
54603022,"COOPERATIVA DE CREDITO CECRES - SICOOB CECRES","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"AV IPIRANGA  324","BL C EDF  INVESTIMENTO 3  E 15  ANDAR","REPUBLICA","SAO PAULO","SP","01046010","https://www.sicoobcecres.com.br/","contab@cecres.com.br","11","21929111","S5",NA,NA,NA,NA
31804966,"COOPERATIVA DE CREDITO CENTRO-SERRANA DO ESPIRITO SANTO - SICOOB CENTRO-SERRANO","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"RUA HERMANN MIERTSCHINK, 90","","CENTRO","SANTA MARIA DE JETIBA","ES","29645000","www.sicoobes.com.br","centroserrano@sicoobes.com.br","27","32631146","S5",NA,NA,NA,NA
4120633,"COOPERATIVA DE CREDITO CLASSICA DO ESTADO DO RIO DE JANEIRO - SICOOB EMPRESAS RJ","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"AV. DAS AMERICAS, 3500, BLOCO 2, SALA 204","COND. LE MONDE","BARRA DA TIJUCA","RIO DE JANEIRO","RJ","22640102","www.sicoobempresas.com.br","infocrerj@infocrerj.com.br","21","21571600","S5",NA,NA,NA,NA
971300,"COOPERATIVA DE CREDITO COM INTERACAO SOLIDARIA PIONEIRA - CRESOL PIONEIRA","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"AVENIDA 28 DE NOVEMBRO  71","CENTRO","CENTRO","DOIS VIZINHOS","PR","85660000","www.cresol.com.br","doisvizinhos@cresol.com.br","46","35361308","S5",NA,NA,NA,NA
49389307,"COOPERATIVA DE CREDITO COOPLIVRE","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"RUA BENTO DIAS, 608","","CENTRO","CAPIVARI","SP","13360000","www.cooplivre.com.br","rural@credicap.com.br","19","34929444","S5",NA,NA,NA,NA
429890,"COOPERATIVA DE CREDITO CREDIAGRO LTDA. - SICOOB CREDIAGRO","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"RUA TIRADENTES","525","CENTRO","CAMPOS ALTOS","MG","38970000","www.sicoobcrediagro.com.br","campal310300@sicoobcrediminas.com.br","37","34269500","S5",NA,NA,NA,NA
966246,"COOPERATIVA DE CREDITO CREDICERIPA - SICOOB CREDICERIPA","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"RUA SALVADOR DE FREITAS N 1.243","","CENTRO","ITAI","SP","18730000","www.crediceripa.com.br","roseli@crediceripa.com.br","14","37613255","S4",NA,NA,NA,NA
54037916,"COOPERATIVA DE CREDITO CREDICITRUS","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"RUA PRUDENTE DE MORAES, 534","","CENTRO","BEBEDOURO","SP","14700120","www.credicitrus.com.br","administracao@credicitrus.com.br","17","33459000","S4",NA,NA,NA,NA
66788142,"COOPERATIVA DE CREDITO CREDIMOTA   SICOOB CREDIMOTA","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"RUA HENRIQUE VASQUES, 262","","CENTRO","CANDIDO MOTA","SP","19880000","www.sicoobcredimota.com.br","administrativo@credimota.com.br","18","33419190","S5",NA,NA,NA,NA
22656789,"COOPERATIVA DE CREDITO CREDISUDESTE LTDA. - SICOOB CREDISUDESTE","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"R PASCHOAL BERNARDINO  101","","CENTRO","MURIAE","MG","36880049","","esfeliz311800@sicoobcrediminas.com.br","32","37293200","S5",NA,NA,NA,NA
5463934,"COOPERATIVA DE CREDITO CREDLIDER - SICOOB CREDLIDER","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"RUA SAO PAULO  3069","TERREO","CENTRO","VOTUPORANGA","SP","15500010","","credlider@credlider.coop.br","17","34265510","S5",NA,NA,NA,NA
1009908,"COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE PARA DE MINAS LTDA - SICOOB ASCICRED","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"RUA BENEDITO VALADARES 51","","CENTRO","PARA DE MINAS","MG","35660630","www.sicoobascicred.com.br","ascicred@ascicred.com.br","37","32320600","S5",NA,NA,NA,NA
4181542,"COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE PITANGUI E REGIAO LTDA. - SICOOB CREDPIT","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"AV  LIMA GUIMARAES  39","","CENTRO","PITANGUI","MG","35650000","","credpit@credpit.com.br","37","32714120","S5",NA,NA,NA,NA
73422792,"COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE RUBIATABA E REGIAO LTDA","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"AV. AROEIRA, 880","","SETOR AEROPORTO","RUBIATABA","GO","76350000","","rubiataba@sicoobrubiataba.com.br","62","33256500","S5",NA,NA,NA,NA
2173447,"COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DO CENTRO NORDESTE MINEIRO LTDA - SICOOB CREDICENM","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"PRACA JK 333","","CENTRO","GUANHAES","MG","39740000","www.sicoobcredicenm.coop.br","credicenm@credicenm.com.br","33","34213232","S5",NA,NA,NA,NA
19869338,"COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DO VALE DO AÇO LTDA - SICOOB VALE DO AÇO","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"AV  CASTELO BRANCO  582","A","HORTO","IPATINGA","MG","35160294","","sicoobvaledoaco@sicoobvaledoaco.com.br","31","38280150","S5",NA,NA,NA,NA
42887133,"COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DA REGIÃO SUDESTE DE MINAS GERAIS LTDA. - SICOOB CREDISUCESSO","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"PRACA BENJAMIM GUIMARAES","109","CENTRO","BOM SUCESSO","MG","37220000","www.sicoobcredisucesso.com.br","bsucesso310000@sicoobcrediminas.com.br","35","38411558","S5",NA,NA,NA,NA
81014060,"COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ITAIPU SICOOB CREDITAIPU","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"RUA JOAO PESSOA, 1.490","CENTRO","CENTRO","PINHALZINHO","SC","89870000","www.creditaipu.coop.br","carlos@creditaipu.com.br","49","33666800","S5",NA,NA,NA,NA
64480833,"COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DE MARTINHO CAMPOS LTDA - SICOOB CREDIMAC","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"PRACA GOVERNADOR VALADARES","130  LOJA","CENTRO","MARTINHO CAMPOS","MG","35606000","","mcampos314100@sicoobcrediminas.com.br","37","35241512","S5",NA,NA,NA,NA
1604998,"COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DO SUL DE MINAS LTDA - SICOOB CREDIVASS","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"RUA DR  FERNANDO LEMOS  45","","CENTRO","SAO GONCALO DO SAPUCAI","MG","37490000","www.sicoobcredivass.com.br","sgsapucai316900@sicoobcrediminas.com.br","35","32419300","S5",NA,NA,NA,NA
25404542,"COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DO VALE DO GORUTUBA LTDA - SICOOB CREDIVAG","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"AV  MANOEL ATHAIDE","713   1 ANDAR","CENTRO","JANAUBA","MG","39440000","www.credivag.com.br","janauba313400@sicoobcrediminas.com.br","38","38212546","S5",NA,NA,NA,NA
968602,"COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DO VALE DO SÃO PATRICIO LTDA.","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"AV  BRASIL LESTE  N  48","","CENTRO","GOIANESIA","GO","76380028","","coopercred@sicoobgoias.com.br","62","33531651","S5",NA,NA,NA,NA
25387671,"COOPERATIVA DE CREDITO DO ALTO PARANAIBA E REGIÃO LTDA. - SICOOB CREDIPATOS","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"RUA MAJOR GOTE","1699","CENTRO","PATOS DE MINAS","MG","38700001","","patominas315400@sicoobcrediminas.com.br","34","38182699","S5",NA,NA,NA,NA
8044854,"COOPERATIVA DE CREDITO DO CENTRO DO ESTADO DE RONDONIA - SICOOB CENTRO","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"RUA MARINGA  520","","NOVA BRASILIA","JI-PARANA","RO","76908402","www.sicoobcentro.com.br","graeffegraeff@uol.com.br","69","34115130","S5",NA,NA,NA,NA
3033469,"COOPERATIVA DE CREDITO DO PLANALTO SUL - SICOOB CREDISSERRANA","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"AV. LUIZ DE CAMOES 243","","CORAL","LAGES","SC","88523000","","credisserrana@iscc.com.br","49","32512700","S5",NA,NA,NA,NA
53776852,"COOPERATIVA DE CREDITO DOS FORNECEDORES DE CANA E DEMAIS PRODUTORES RURAIS DO CENTRO DO ESTADO DE SAO PAULO - CREDICENTRO","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"AVENIDA CIENTISTA FREDERICO DE MARCO, 21","","VILA XAVIER","ARARAQUARA","SP","14810185","www.credicentrosp.com.br","credi-centro@uol.com.br","16","33222246","S5",NA,NA,NA,NA
71432926,"COOPERATIVA DE CREDITO DOS PROFISSIONAIS DE SAUDE DO TRIANGULO MINEIRO E SUL DE MINAS LTDA.-UNICRED PROGRESSO","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"RUA ALAOR PRATA  294","1  ANDAR","CENTRO","UBERABA","MG","38015010","www.unicredmg.com.br","unicred0005@unicredmg.com.br","34","33120123","S5",NA,NA,NA,NA
27302181,"COOPERATIVA DE CREDITO DOS SERVIDORES DA UNIVERSIDADE FEDERAL DO ESPIRITO SANTO","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"AV  MARECHAL CAMPOS  1355","","SANTA CECILIA","VITORIA","ES","29043260","www.credufes.coop.br","credufes@credufes.coop.br","27","33244655","S5",NA,NA,NA,NA
4281182,"COOPERATIVA DE CREDITO E ECONOMIA COM INTERACAO SOLIDARIA DE CHAPECO - CRESOL CHAPECO","Sociedade Cooperativa","Autorizada em Atividade",FALSE,"AV. PORTO ALEGRE, 223","E - SALAS 101, 201, 303 E 403","CENTRO","CHAPECO","SC","89802132","www.cresolcentral.com.br","chapeco@cresolcentral.com.br","49","33305800","S5",NA,NA,NA,NA
